cell	gt_diffusive	metric	value
pde2/low	1	prior_l2	6.951640e-01
pde2/low	1	cno_fit_err	7.152737e-01
pde2/low	1	R2_u_xx	1.713602e-01
pde2/low	1	c_uxx	-2.190909e-01
pde2/low	1	R2_u_x	1.227690e-01
pde2/low	1	R2_u	4.503565e-01
pde2/low	1	R2_u_ux	4.233430e-02
pde2/low	1	R2_u_xxx	1.897516e-02
pde2/low	1	stencil_I	2.808864e-01
pde2/low	1	stencil_d_x	2.992663e-01
pde2/low	1	stencil_d_t	2.669528e-01
pde2/low	1	stencil_d_xx	2.625898e-01
pde2/low	1	stencil_d_tt	3.092808e-01
pde2/low	1	stencil_lap	2.512574e-01
pde2/low	1	stencil_d_xt	2.792093e-01
pde2/low	1	gt_diffusive	1.000000e+00
pde2/max	0	prior_l2	1.031101e+00
pde2/max	0	cno_fit_err	9.675430e-01
pde2/max	0	R2_u_xx	1.808090e-02
pde2/max	0	c_uxx	7.217988e-02
pde2/max	0	R2_u_x	4.056693e-03
pde2/max	0	R2_u	4.843160e-01
pde2/max	0	R2_u_ux	1.673876e-03
pde2/max	0	R2_u_xxx	1.026985e-03
pde2/max	0	stencil_I	3.057202e-01
pde2/max	0	stencil_d_x	2.581872e-01
pde2/max	0	stencil_d_t	2.838654e-01
pde2/max	0	stencil_d_xx	3.065884e-01
pde2/max	0	stencil_d_tt	2.733668e-01
pde2/max	0	stencil_lap	2.921879e-01
pde2/max	0	stencil_d_xt	2.674345e-01
pde2/max	0	gt_diffusive	0.000000e+00
